,ID,Occupation,Job.Series,School,Major,Level.of.Education,Gender,Race,Disability,Hired
990,990,Art Specialist,1056,199193,"Arts, Fine And Applied",Associates Degree,Female,White,targeted disability,N
991,991,Social Insurance Administration,105,168148,Insurance,Associates Degree,Female,Black/African American,disability,N
992,992,Plant Protection and Quarantine,436,126614,Horticulture,Associates Degree,Male,American Indian/Alaskan Native,NA,N
993,993,Medical Records Technician,675,131469,Medical Support,Some College,Female,White,targeted disability,N
994,994,Park Ranger,25,131496,Park And Recreation Management,Associates Degree,Female,Black/African American,NA,N
995,995,Nurse,610,199847,Nursing,Master's/J.D./LL.B.,Male,Black/African American,disability,N
996,996,Realty,1170,123961,Community Or City Planning,Bachelor's Degree,Female,White,disability,N
997,997,Museum Specialist and Technician,1016,110635,Anthropology,Associates Degree,Male,Black/African American,NA,Y
998,998,Nurse,610,198419,Nursing,Some College,Male,Hispanic/Latino,NA,N
999,999,Language Specialist,1040,166629,Foreign Language,Master's/J.D./LL.B.,Female,White,disability,N
1000,1000,Community Planning,20,166629,Community Or City Planning,Master's/J.D./LL.B.,Male,White,NA,N
1001,1001,Financial Administration and Program,501,223232,Accounting,Master's/J.D./LL.B.,Male,American Indian/Alaskan Native,NA,N
1002,1002,General Biological Science,401,170976,Horticulture,Some College,Male,Hispanic/Latino,NA,N
1003,1003,Recreation Aide and Assistant,189,243780,Physical Education,Some College,Male,Hispanic/Latino,NA,N
1004,1004,Supply Program Management,2003,215293,Any Major,Bachelor's Degree,Male,White,NA,N
1005,1005,Recreation/Creative Arts Therapist,638,196079,Park And Recreation Management,Some College,Male,White,NA,N
1006,1006,Unemployment Insurance,106,197708,Insurance,Master's/J.D./LL.B.,Male,White,NA,Y
1007,1007,Construction Control,809,186131,Architecture,Some College,Male,Black/African American,NA,N
1008,1008,Auditing,511,215293,Accounting,Some College,Male,White,disability,N
1009,1009,Chaplain,60,131469,Counseling,Associates Degree,Female,White,disability,N
1010,1010,Social Science,101,131496,Political Science/Govt,Master's/J.D./LL.B.,Male,White,disability,N
1011,1011,Health System Specialist,671,144050,Hospital Admin.,Some College,Male,White,disability,N
1012,1012,Computer Science,1550,162928,Mathematics,Some College,Female,Hispanic/Latino,disability,N
1013,1013,Instructional Systems,1750,152080,Education,Associates Degree,Female,White,targeted disability,Y
1014,1014,Recreation/Creative Arts Therapist,638,212054,Park And Recreation Management,Some College,Male,Asian,NA,N
1015,1015,Game Law Enforcement,1812,204796,Criminal Justice/Law Enforcement,Some College,Male,White,disability,N
1016,1016,Property Disposal,1104,190150,Marketing,Bachelor's Degree,Male,Hispanic/Latino,disability,N
1017,1017,Medical Technician,645,190415,Medical Support,PhD,Female,White,NA,N
1018,1018,Contracting,1102,170976,Any Major,Bachelor's Degree,Male,White,disability,N
1019,1019,Administrative Law Judge,935,230038,Law,Some College,Female,White,targeted disability,N
1020,1020,Veterans Claims Examining,996,168421,Liberal Arts/Humanities,Some College,Female,White,NA,N
1021,1021,Architecture,808,130794,Architecture,Some College,Male,White,NA,N
1022,1022,General Facilities and Equipment,1601,221999,"Management, Facilities",Associates Degree,Female,White,NA,N
1023,1023,Geography,150,228778,Geography,Bachelor's Degree,Female,White,NA,N
1024,1024,Dietitian and Nutritionist,630,170976,Food Technology And Safety,Some College,Female,White,targeted disability,N
1025,1025,Wildlife Biology,486,243744,Biology,Some College,Male,White,NA,N
1026,1026,Miscellaneous Administration and Program,301,197708,Public Admin.,Some College,Male,American Indian/Alaskan Native,disability,Y
1027,1027,Correctional Institution Administration,6,147767,Corrections,Bachelor's Degree,Female,Hispanic/Latino,NA,N
1028,1028,Social Science Aide and Technician,102,186131,Social Work,PhD,Female,White,disability,N
1029,1029,Recreation/Creative Arts Therapist,638,243780,Park And Recreation Management,Associates Degree,Female,White,NA,N
1030,1030,Facility Management,1640,130794,"Management, Facilities",Some College,Male,White,NA,N
1031,1031,Miscellaneous Administration and Program,301,110404,Public Admin.,Bachelor's Degree,Female,Black/African American,NA,N
1032,1032,Business and Industry,NA,100751,Industrial Management,Some College,Male,Black/African American,targeted disability,Y
1033,1033,Public Affairs,1035,166027,Any Major,Bachelor's Degree,Male,Black/African American,NA,N
1034,1034,Equal Employment Opportunity,260,178396,Foreign Language,Some College,Male,White,NA,Y
1035,1035,Internal Revenue Officer,1169,215062,Any Major,Associates Degree,Male,White,targeted disability,N
1036,1036,Operations Research,1515,228723,Mathematics,Some College,Female,White,disability,N
1037,1037,Mathematics,1520,123961,Mathematics,Associates Degree,Male,White,NA,N
1038,1038,Museum Specialist and Technician,1016,147767,Anthropology,Master's/J.D./LL.B.,Female,White,NA,N
1039,1039,Dietitian and Nutritionist,630,131469,Food Technology And Safety,Bachelor's Degree,Female,White,disability,N
1040,1040,Technical Writing and Editing,1083,214777,English And Literature,Bachelor's Degree,Male,White,targeted disability,N
1041,1041,Veterans Claims Examining,996,110404,Liberal Arts/Humanities,Some College,Male,White,targeted disability,N
1042,1042,Physiology,413,110653,Zoology,PhD,Male,Hispanic/Latino,NA,N
1043,1043,Management and Program Analysis,343,130794,Any Major,Some College,Female,White,NA,N
1044,1044,Veterans Claims Examining,996,215062,Liberal Arts/Humanities,Associates Degree,Male,White,NA,N
1045,1045,Education and Training Technician,1702,122436,Education,Some College,Female,White,NA,N
1046,1046,Land Surveying,1373,212054,Surveying,Bachelor's Degree,Male,Black/African American,NA,N
1047,1047,Government Accountability Office Evaluator,347,223232,Biology,Master's/J.D./LL.B.,Male,White,NA,N
1048,1048,Soil Science,470,214777,Agriculture,Bachelor's Degree,Male,White,disability,N
1049,1049,Nuclear Engineering,840,234076,Engineering (Any Specialty),Bachelor's Degree,Female,White,disability,N
1050,1050,Training Instruction,1712,197708,Education,Bachelor's Degree,Male,White,disability,N
1051,1051,Foreign Agricultural Affairs,135,221999,Foreign Language,Bachelor's Degree,Female,White,NA,N
1052,1052,Tax Law Specialist,987,130794,Law,Bachelor's Degree,Male,Black/African American,targeted disability,N
1053,1053,Contracting,1102,131159,Any Major,Bachelor's Degree,Male,White,disability,N
1054,1054,Instructional Systems,1750,110635,Education,Some College,Male,Black/African American,NA,N
1055,1055,Financial Institution Examining,570,191241,Economics,Master's/J.D./LL.B.,Female,White,targeted disability,N
1056,1056,Wildlife Refuge Management,485,215062,Meteorology,Master's/J.D./LL.B.,Female,White,NA,N
1057,1057,Industrial Specialist,1150,165015,Industrial Management,Bachelor's Degree,Male,White,disability,N
1058,1058,Language Specialist,1040,166629,Foreign Language,Associates Degree,Female,Black/African American,NA,N
1059,1059,Agricultural Marketing,1146,221999,Marketing,Associates Degree,Male,White,NA,N
1060,1060,Management and Program Analysis,343,217882,Any Major,Bachelor's Degree,Female,White,NA,N
1061,1061,Distribution Facilities and Storage Management,2030,145637,"Management, Facilities",Bachelor's Degree,Male,White,disability,N
1062,1062,Food Technology,1382,145637,Chemistry,Master's/J.D./LL.B.,Female,White,disability,N
1063,1063,Prosthetic Representative,672,110653,Rehabilitation Therapy,Associates Degree,Female,Black/African American,NA,N
1064,1064,General Physical Science,1301,182670,Geology,Master's/J.D./LL.B.,Female,White,disability,N
1065,1065,Meteorology,1340,152080,Meteorology,Some College,Female,Hispanic/Latino,disability,N
1066,1066,Electrical Engineering,850,166683,Engineering (Any Specialty),Master's/J.D./LL.B.,Female,White,NA,N
1067,1067,Architecture,808,243744,Architecture,Bachelor's Degree,Male,Black/African American,targeted disability,N
1068,1068,Highway Safety,2125,147767,Transportation,Some College,Female,White,NA,N
1069,1069,Education Services,1740,221999,Liberal Arts/Humanities,Some College,Female,Hispanic/Latino,NA,N
1070,1070,Health System Specialist,671,221999,Hospital Admin.,Bachelor's Degree,Male,Hispanic/Latino,NA,N
1071,1071,Meteorology,1340,170976,Meteorology,Bachelor's Degree,Male,White,NA,N
1072,1072,Loan Specialist,1165,196413,Economics,Associates Degree,Female,White,targeted disability,N
1073,1073,Insurance Examining,1163,100751,Insurance,Master's/J.D./LL.B.,Male,White,disability,N
1074,1074,Agricultural Engineering,890,110714,Agriculture,Associates Degree,Female,White,disability,N
1075,1075,Psychology,180,166629,Counseling,Bachelor's Degree,Female,White,NA,N
1076,1076,Nurse,610,174066,Nursing,Bachelor's Degree,Male,Hispanic/Latino,NA,N
1077,1077,Environmental Protection Specialist,28,131496,Any Major,Bachelor's Degree,Male,White,disability,N
1078,1078,Exhibits Specialist,1010,110653,"Arts, Fine And Applied",Bachelor's Degree,Male,Black/African American,disability,N
1079,1079,Hospital Housekeeping Management,673,228778,Hospital Admin.,Associates Degree,Male,Asian,NA,Y
1080,1080,Physical Therapist,633,166027,Rehabilitation Therapy,Some College,Female,Black/African American,NA,N
1081,1081,Administrative Officer,341,110644,Any Major,Associates Degree,Female,Black/African American,NA,Y
1082,1082,Language Specialist,1040,165015,Foreign Language,Master's/J.D./LL.B.,Male,White,NA,Y
1083,1083,Social Science Aide and Technician,102,190150,Social Work,Master's/J.D./LL.B.,Male,Black/African American,NA,N
1084,1084,Metallurgy,1321,198419,Physical Science,Bachelor's Degree,Female,White,disability,N
1085,1085,Botany,430,127060,Botany,Bachelor's Degree,Female,White,targeted disability,N
1086,1086,Training Instruction,1712,243780,Education,Master's/J.D./LL.B.,Male,Native Hawaiian/Pacific Islander,NA,N
1087,1087,Social Science Aide and Technician,102,165015,Social Work,Associates Degree,Female,Black/African American,NA,N
1088,1088,Financial Analysis,1160,162928,Economics,Associates Degree,Female,White,NA,N
1089,1089,Game Law Enforcement,1812,110404,Criminal Justice/Law Enforcement,Associates Degree,Male,White,NA,N
1090,1090,Securities Compliance Examining,1831,186131,Finance,Bachelor's Degree,Male,White,disability,N
1091,1091,General Anthropology,190,191241,Anthropology,Some College,Female,White,NA,N
1092,1092,Librarian,1410,162928,Library Science,Some College,Male,White,disability,N
1093,1093,Construction Control,809,215062,Architecture,Associates Degree,Female,White,disability,Y
1094,1094,Physician's Assistant,603,197708,Nursing,Associates Degree,Female,White,NA,N
1095,1095,Purchasing,1105,228246,Purchasing,Associates Degree,Male,White,NA,N
1096,1096,Telecommunications,391,165015,Communications,Associates Degree,Male,White,NA,N
1097,1097,Horticulture,437,196103,Botany,Bachelor's Degree,Male,White,NA,N
1098,1098,Public Affairs,1035,166027,Any Major,Associates Degree,Male,White,targeted disability,N
1099,1099,Telecommunications,391,110653,Communications,Some College,Female,White,NA,N
1100,1100,Vocational Rehabilitation,1715,240444,Counseling,Master's/J.D./LL.B.,Female,Hispanic/Latino,NA,N
1101,1101,Mechanical Engineering,830,186131,Engineering (Any Specialty),Associates Degree,Male,Hispanic/Latino,NA,N
1102,1102,Game Law Enforcement,1812,179159,Criminal Justice/Law Enforcement,Bachelor's Degree,Female,Black/African American,NA,Y
1103,1103,Social Work,185,144050,Social Work,Bachelor's Degree,Female,Asian,disability,Y
1104,1104,Business and Industry,NA,166629,Industrial Management,Associates Degree,Male,Black/African American,NA,N
1105,1105,Zoology,410,126775,Biology,Bachelor's Degree,Male,Black/African American,targeted disability,N
1106,1106,Financial Administration and Program,501,236948,Accounting,Some College,Female,Asian,targeted disability,N
1107,1107,Writing and Editing,1082,243780,Communications,Some College,Male,Black/African American,disability,N
1108,1108,Audiovisual Production,1071,215062,"Arts, Fine And Applied",Bachelor's Degree,Male,American Indian/Alaskan Native,NA,N
1109,1109,Museum Specialist and Technician,1016,197708,Anthropology,Associates Degree,Female,White,NA,N
1110,1110,Geodetic Technician,1374,110644,Cartography,Bachelor's Degree,Male,Black/African American,NA,N
1111,1111,Geology,1350,198419,Geology,Bachelor's Degree,Male,American Indian/Alaskan Native,NA,N
1112,1112,Transportation Loss and Damage Claims Examining,2135,100751,Transportation,Associates Degree,Male,White,NA,N
1113,1113,Mathematics,1520,144050,Mathematics,Associates Degree,Male,Black/African American,NA,N
1114,1114,General Physical Science,1301,182670,Geology,Master's/J.D./LL.B.,Female,White,NA,N
1115,1115,Business and Industry,NA,214777,Industrial Management,Associates Degree,Male,Black/African American,NA,Y
1116,1116,Recreation/Creative Arts Therapist,638,110653,Park And Recreation Management,Some College,Female,White,NA,N
1117,1117,Equal Employment Opportunity,260,196103,Foreign Language,Associates Degree,Male,White,NA,Y
1118,1118,Logistics Management,346,236948,Any Major,Bachelor's Degree,Female,Black/African American,NA,N
1119,1119,Immigration Inspection,1816,195030,Law Enforcement,Associates Degree,Female,Hispanic/Latino,NA,N
1120,1120,Program Management,340,170976,Computer Science,Master's/J.D./LL.B.,Male,White,NA,N
1121,1121,Physiology,413,152080,Zoology,PhD,Male,White,NA,N
1122,1122,Logistics Management,346,110653,Any Major,Some College,Female,White,NA,N
1123,1123,Entomology,414,193900,Biology,Some College,Male,White,NA,N
1124,1124,Property Disposal,1104,204024,Marketing,Bachelor's Degree,Male,Black/African American,NA,N
1125,1125,General Attorney,905,110644,Law,Bachelor's Degree,Male,Black/African American,NA,N
1126,1126,Meteorology,1340,214777,Meteorology,Bachelor's Degree,Male,White,NA,N
1127,1127,Social Science,101,236948,Political Science/Govt,PhD,Male,White,NA,N
1128,1128,Land Surveying,1373,223232,Surveying,Some College,Female,White,targeted disability,N
1129,1129,Sports Specialist,30,110404,Physical Education,Associates Degree,Female,Hispanic/Latino,NA,N
1130,1130,Game Law Enforcement,1812,212054,Criminal Justice/Law Enforcement,Some College,Male,White,NA,N
1131,1131,Environmental Protection Assistant,29,215293,Environmental Studies,Associates Degree,Male,White,NA,N
1132,1132,General Arts and Information,1001,147767,"Arts, Fine And Applied",Master's/J.D./LL.B.,Female,White,NA,N
1133,1133,Wildlife Refuge Management,485,186131,Meteorology,Associates Degree,Female,White,NA,N
1134,1134,General Biological Science,401,204024,Horticulture,Some College,Female,Black/African American,NA,N
1135,1135,Medical Instrument Technician,649,110662,Medical Support,Associates Degree,Female,White,disability,N
1136,1136,Management and Program Analysis,343,190150,Any Major,Bachelor's Degree,Female,White,NA,N
1137,1137,General Facilities and Equipment,1601,134097,"Management, Facilities",PhD,Female,White,NA,N
1138,1138,Miscellaneous Clerk and Assistant,303,123961,Business,Bachelor's Degree,Male,White,NA,N
1139,1139,Telecommunications,391,215293,Communications,Bachelor's Degree,Female,Asian,targeted disability,N
1140,1140,Loan Specialist,1165,228778,Economics,Bachelor's Degree,Female,Black/African American,NA,N
1141,1141,Editorial Assistance,1087,223232,English And Literature,Master's/J.D./LL.B.,Female,White,NA,N
1142,1142,Medical Technician,645,196413,Medical Support,Bachelor's Degree,Male,White,NA,N
1143,1143,Archeology,193,243780,Archeology,Master's/J.D./LL.B.,Male,White,NA,N
1144,1144,Property Disposal,1104,191241,Marketing,Bachelor's Degree,Male,White,disability,N
1145,1145,Geophysics,1313,165015,Geophysics,Some College,Female,White,NA,N
1146,1146,Entomology,414,110644,Biology,Bachelor's Degree,Male,Black/African American,NA,N
1147,1147,Plant Pathology,434,236948,Botany,Master's/J.D./LL.B.,Female,White,targeted disability,N
1148,1148,Agricultural Engineering,890,190150,Agriculture,Master's/J.D./LL.B.,Male,Black/African American,NA,N
1149,1149,Visual Information,1084,197708,"Arts, Fine And Applied",Associates Degree,Female,White,NA,N
1150,1150,Instructional Systems,1750,131159,Education,Associates Degree,Male,White,NA,N
1151,1151,Financial Administration and Program,501,160755,Accounting,Some College,Male,White,NA,N
1152,1152,Civil Engineering,810,190150,Engineering (Any Specialty),Some College,Female,White,NA,N
1153,1153,Tax Law Specialist,987,131469,Law,Bachelor's Degree,Female,White,targeted disability,N
1154,1154,Trade Specialist,1140,214777,Business,Some College,Female,White,disability,N
1155,1155,Animal Science,487,215062,Zoology,Bachelor's Degree,Male,White,NA,N
1156,1156,Computer Science,1550,198419,Mathematics,Associates Degree,Male,Black/African American,NA,N
1157,1157,Botany,430,130794,Botany,Bachelor's Degree,Female,White,disability,N
1158,1158,Border Patrol Agent,1896,230038,Criminal Justice/Law Enforcement,Bachelor's Degree,Male,White,NA,N
1159,1159,Health System Specialist,671,214777,Hospital Admin.,Some College,Female,Black/African American,disability,N
1160,1160,Electronics Engineering,855,186380,Engineering (Any Specialty),Associates Degree,Female,White,NA,N
1161,1161,Medical Technician,645,121150,Medical Support,Bachelor's Degree,Male,White,NA,N
1162,1162,Diagnostic Radiologic Technologist,647,131469,Medical Support,Associates Degree,Male,White,targeted disability,N
1163,1163,Business and Industry,NA,179159,Industrial Management,Some College,Female,White,NA,N
1164,1164,Game Law Enforcement,1812,230038,Criminal Justice/Law Enforcement,Associates Degree,Male,White,NA,N
1165,1165,Education Services,1740,110653,Liberal Arts/Humanities,Associates Degree,Female,White,NA,N
1166,1166,Wage and Hour Compliance,249,168421,Employee/Labor Relations,Associates Degree,Male,Hispanic/Latino,NA,N
1167,1167,Writing and Editing,1082,166027,Communications,Bachelor's Degree,Female,White,NA,N
1168,1168,Agricultural Marketing,1146,126775,Marketing,Some College,Female,Native Hawaiian/Pacific Islander,disability,N
1169,1169,Language Specialist,1040,197708,Foreign Language,Bachelor's Degree,Male,White,NA,N
1170,1170,Geodetic Technician,1374,196103,Cartography,PhD,Female,White,NA,N
1171,1171,Plant Protection and Quarantine,436,214777,Horticulture,Some College,Male,White,NA,N
1172,1172,Correctional Institution Administration,6,199193,Corrections,Some College,Female,White,NA,Y
1173,1173,Aerospace Engineering,861,231174,Engineering (Any Specialty),Associates Degree,Female,White,disability,Y
1174,1174,Auditing,511,170976,Accounting,Associates Degree,Male,White,NA,N
1175,1175,Correctional Officer,7,214777,Corrections,Associates Degree,Female,White,disability,N
1176,1176,Park Ranger,25,215062,Park And Recreation Management,Associates Degree,Male,Black/African American,NA,Y
1177,1177,Economist,110,139658,Economics,Bachelor's Degree,Female,American Indian/Alaskan Native,NA,N
1178,1178,Packaging,2032,110653,Marketing,PhD,Male,Hispanic/Latino,NA,N
1179,1179,Audiovisual Production,1071,162928,"Arts, Fine And Applied",Some College,Female,Black/African American,NA,N
1180,1180,Pharmacology,405,131469,Pharmacy,Master's/J.D./LL.B.,Female,White,NA,N
1181,1181,Fishery Biology,482,131496,Biology,Associates Degree,Male,White,NA,N
1182,1182,Purchasing,1105,243780,Purchasing,Associates Degree,Female,White,targeted disability,N
1183,1183,Property Disposal,1104,195030,Marketing,Some College,Male,Asian,disability,N
1184,1184,Prosthetic Representative,672,170976,Rehabilitation Therapy,Master's/J.D./LL.B.,Male,White,NA,N
1185,1185,Forestry,460,166683,Forestry,Some College,Male,White,NA,N
1186,1186,Physiology,413,110404,Zoology,Bachelor's Degree,Female,White,NA,N
1187,1187,Toxicology,415,165015,Chemistry,Associates Degree,Male,Black/African American,disability,N
1188,1188,Foreign Agricultural Affairs,135,110680,Foreign Language,Associates Degree,Female,White,NA,N
1189,1189,Metallurgy,1321,110635,Physical Science,Master's/J.D./LL.B.,Male,White,disability,N
1190,1190,Printing Management,1654,164988,English And Literature,Associates Degree,Female,Hispanic/Latino,NA,N
1191,1191,Agricultural Program Specialist,1145,191241,Agriculture,Some College,Female,White,targeted disability,N
1192,1192,Dietitian and Nutritionist,630,243744,Food Technology And Safety,PhD,Female,White,NA,Y
1193,1193,Forestry Technician,462,147767,Botany,Bachelor's Degree,Female,Black/African American,NA,Y
1194,1194,Electrical Engineering,850,165015,Engineering (Any Specialty),Associates Degree,Male,Hispanic/Latino,NA,N
1195,1195,Botany,430,214777,Botany,PhD,Male,White,NA,N
1196,1196,Education Services,1740,110680,Liberal Arts/Humanities,Associates Degree,Male,Black/African American,targeted disability,Y
1197,1197,Plant Protection and Quarantine,436,144050,Horticulture,Bachelor's Degree,Male,Black/African American,NA,N
1198,1198,Patent Examining,1224,230038,Electronics Technology,Associates Degree,Female,Hispanic/Latino,NA,N
1199,1199,Contracting,1102,223232,Any Major,Associates Degree,Female,Black/African American,targeted disability,N
1200,1200,Environmental Protection Specialist,28,165015,Any Major,Bachelor's Degree,Male,Black/African American,NA,N
1201,1201,Packaging,2032,214777,Marketing,Some College,Female,Hispanic/Latino,NA,N
1202,1202,Sports Specialist,30,186131,Physical Education,Associates Degree,Male,White,targeted disability,Y
1203,1203,General Investigating,1810,230038,Any Major,Master's/J.D./LL.B.,Female,White,NA,N
1204,1204,Food Technology,1382,195030,Chemistry,Bachelor's Degree,Male,Black/African American,NA,N
1205,1205,Chemical Engineering,893,131496,Chemistry,Some College,Female,Black/African American,disability,N
1206,1206,Hospital Housekeeping Management,673,130794,Hospital Admin.,Some College,Male,White,NA,N
1207,1207,Inventory Management,2010,110644,Marketing,Bachelor's Degree,Male,Black/African American,NA,N
1208,1208,Environmental Protection Specialist,28,228778,Any Major,Bachelor's Degree,Male,Black/African American,disability,N
1209,1209,Patent Examining,1224,110635,Electronics Technology,Bachelor's Degree,Male,White,NA,N
1210,1210,Financial Institution Examining,570,215293,Economics,Some College,Male,White,NA,N
1211,1211,Actuary,1510,236948,Economics,Associates Degree,Female,Black/African American,NA,N
1212,1212,Plant Pathology,434,166027,Botany,Bachelor's Degree,Male,White,NA,N
1213,1213,Packaging,2032,130794,Marketing,Associates Degree,Male,White,NA,N
1214,1214,Import Specialist,1889,162928,Business,Some College,Male,Hispanic/Latino,NA,N
1215,1215,Horticulture,437,134130,Botany,Some College,Female,White,disability,Y
1216,1216,Agricultural Program Specialist,1145,168421,Agriculture,Associates Degree,Female,White,NA,N
1217,1217,Financial Analysis,1160,122436,Economics,Bachelor's Degree,Male,White,NA,N
1218,1218,Production Control,1152,131469,Industrial Management,Bachelor's Degree,Female,White,NA,N
1219,1219,Agricultural Commodity Grading,1980,131469,Agriculture,Some College,Male,White,NA,N
1220,1220,Foreign Affairs,130,204024,Foreign Language,Some College,Female,White,NA,N
1221,1221,Transportation Industry Analysis,2110,166683,Economics,Some College,Female,Black/African American,NA,N
1222,1222,Hydrology,1315,110404,Geology,Bachelor's Degree,Male,White,NA,N
1223,1223,Administrative Law Judge,935,166027,Law,Bachelor's Degree,Female,White,NA,N
1224,1224,Environmental Protection Assistant,29,144050,Environmental Studies,Bachelor's Degree,Male,White,NA,N
1225,1225,Agricultural Program Specialist,1145,110662,Agriculture,PhD,Male,White,disability,N
1226,1226,Land Surveying,1373,230038,Surveying,Bachelor's Degree,Male,Hispanic/Latino,targeted disability,N
1227,1227,Geography,150,166683,Geography,Associates Degree,Female,Hispanic/Latino,disability,N
1228,1228,Biomedical Engineering,858,214777,Engineering (Any Specialty),Bachelor's Degree,Male,White,NA,N
1229,1229,Genetics,440,234076,Botany,Some College,Female,White,NA,N
1230,1230,Writing and Editing,1082,191241,Communications,Some College,Male,White,NA,N
1231,1231,Facility Management,1640,100751,"Management, Facilities",Associates Degree,Male,White,NA,N
1232,1232,Aviation Safety,1825,152080,Aviation,Bachelor's Degree,Male,Black/African American,disability,N
1233,1233,Geography,150,190150,Geography,Associates Degree,Female,White,NA,N
1234,1234,Geophysics,1313,214777,Geophysics,Some College,Male,White,disability,N
1235,1235,Workers' Compensation Claims Examining,991,228778,Employee/Labor Relations,Associates Degree,Female,Hispanic/Latino,NA,N
1236,1236,Marine Cargo,2161,170976,Transportation,Associates Degree,Male,White,disability,N
1237,1237,Food Technology,1382,165015,Chemistry,Bachelor's Degree,Female,Hispanic/Latino,NA,N
1238,1238,Industrial Engineering,896,162928,Engineering (Any Specialty),Master's/J.D./LL.B.,Male,White,NA,N
1239,1239,Public Utilities Specialist,1130,144050,Public Admin.,Bachelor's Degree,Male,White,NA,N
1240,1240,Astronomy and Space Science,1330,110680,Astronomy,Associates Degree,Female,White,disability,N
1241,1241,Foreign Agricultural Affairs,135,110404,Foreign Language,Associates Degree,Female,White,disability,N
1242,1242,Internal Revenue Officer,1169,231174,Any Major,Bachelor's Degree,Female,Black/African American,targeted disability,N
1243,1243,Chaplain,60,215062,Counseling,Master's/J.D./LL.B.,Male,Black/African American,NA,N
1244,1244,Supply Clerical and Technician,2005,243780,Marketing,Associates Degree,Male,White,targeted disability,N
1245,1245,Hospital Housekeeping Management,673,130794,Hospital Admin.,Bachelor's Degree,Female,Black/African American,disability,N
1246,1246,Civil Rights Analysis,160,174066,Any Major,Bachelor's Degree,Male,White,NA,N
1247,1247,Agricultural Engineering,890,236948,Agriculture,Master's/J.D./LL.B.,Male,Black/African American,targeted disability,N
1248,1248,Correctional Institution Administration,6,197708,Corrections,Bachelor's Degree,Male,White,targeted disability,N
1249,1249,Support Service,NA,160755,Management,Master's/J.D./LL.B.,Male,White,NA,N
1250,1250,Internal Revenue Officer,1169,170976,Any Major,Some College,Female,White,disability,Y
1251,1251,Environmental Protection Specialist,28,166629,Any Major,Associates Degree,Male,White,disability,N
1252,1252,Wildlife Biology,486,193900,Biology,Some College,Female,White,NA,N
1253,1253,Patent Attorney,1222,144050,Law,Associates Degree,Male,Black/African American,NA,N
1254,1254,Museum Curator,1015,170976,Anthropology,Associates Degree,Female,White,NA,N
1255,1255,Botany,430,123961,Botany,Some College,Male,White,NA,N
1256,1256,Astronomy and Space Science,1330,122436,Astronomy,Associates Degree,Male,Asian,disability,N
1257,1257,Range Technician,455,110662,Biology,Master's/J.D./LL.B.,Male,White,NA,N
1258,1258,Contracting,1102,166629,Any Major,Associates Degree,Female,White,disability,N
1259,1259,Labor Management Relations Examining,244,151351,Employee/Labor Relations,Bachelor's Degree,Female,Hispanic/Latino,targeted disability,Y
1260,1260,Education Services,1740,194824,Liberal Arts/Humanities,PhD,Female,White,NA,N
1261,1261,Education and Vocational Training,1710,231174,Counseling,Associates Degree,Male,Hispanic/Latino,disability,N
1262,1262,Physical Therapist,633,122436,Rehabilitation Therapy,Associates Degree,Female,White,NA,N
1263,1263,Veterans Claims Examining,996,100751,Liberal Arts/Humanities,Associates Degree,Male,Black/African American,targeted disability,N
1264,1264,Geodetic Technician,1374,147767,Cartography,Bachelor's Degree,Male,Black/African American,NA,N
1265,1265,Public Affairs,1035,234076,Any Major,Associates Degree,Male,Hispanic/Latino,disability,N
1266,1266,Patent Examining,1224,178396,Electronics Technology,Associates Degree,Male,White,targeted disability,N
1267,1267,General Physical Science,1301,100751,Geology,PhD,Female,Hispanic/Latino,targeted disability,Y
1268,1268,Writing and Editing,1082,122436,Communications,Associates Degree,Male,White,NA,N
1269,1269,Language Specialist,1040,228723,Foreign Language,Bachelor's Degree,Female,Black/African American,targeted disability,N
1270,1270,Marine Cargo,2161,165015,Transportation,Some College,Female,White,NA,N
1271,1271,Contracting,1102,215062,Any Major,PhD,Female,Black/African American,NA,N
1272,1272,Landscape Architecture,807,167358,Architecture,Bachelor's Degree,Male,Hispanic/Latino,NA,N
1273,1273,Contracting,1102,165334,Any Major,Associates Degree,Female,White,NA,N
1274,1274,Exhibits Specialist,1010,197708,"Arts, Fine And Applied",Bachelor's Degree,Female,White,NA,N
1275,1275,Appraising,1171,214777,Finance,Bachelor's Degree,Female,White,NA,N
1276,1276,Medical Records Administration,669,223232,Library Science,Master's/J.D./LL.B.,Female,White,NA,N
1277,1277,Auditing,511,228778,Accounting,Some College,Male,White,NA,N
1278,1278,General Health Science,601,165015,Epidemiology,Master's/J.D./LL.B.,Male,White,NA,N
1279,1279,Public Affairs,1035,135726,Any Major,Some College,Male,White,NA,Y
1280,1280,Printing Management,1654,144050,English And Literature,PhD,Female,White,NA,Y
1281,1281,Medical Technician,645,170976,Medical Support,Associates Degree,Male,White,NA,N
1282,1282,Program Management,340,162928,Computer Science,PhD,Female,White,disability,N
1283,1283,Civil Engineering,810,110705,Engineering (Any Specialty),Associates Degree,Female,White,NA,N
1284,1284,Zoology,410,221999,Biology,Bachelor's Degree,Male,White,disability,Y
1285,1285,Contact Representative,962,198419,Liberal Arts/Humanities,Bachelor's Degree,Female,White,NA,N
1286,1286,Management and Program Analysis,343,178396,Any Major,Bachelor's Degree,Female,American Indian/Alaskan Native,NA,N
1287,1287,Paralegal Specialist,950,197708,Any Major,Associates Degree,Male,Asian,NA,N
